DocID,Title,WikiID,In,Out
65,Остромила,249298,,"ВМРО;Вътрешна македонска революционна организация
НБКМ;Народна библиотека ""Св. св. Кирил и Методий""
НБКМ-Сф;Народна библиотека ""Св. св. Кирил и Методий"" София
Сф;София
г.;година
гр.;град
Пд;Пловдив"
66,Открито_първенство_на_Франция,54609,,г.;година
67,Пейо_Яворов,3050,,"ВМОК;Върховен македоно-одрински комитет
ВМОРО;Вътрешна македоно-одринска революционна организация
г.;година
д-р;доктор"
68,Планова_икономика,231707,,"БВП;Брутен вътрешен продукт
КНДР;Корейска Народно - Демократична Република
СССР;Съюз на съветските социалистически републики
т. нар.;така наречен"
69,Пловдивски_университет,133741,"ПУ;Паисий Хилендарски
ВИХВП;Висш институт по хранително-вкусова промишленост","ВИХВП;Висш институт по хранително-вкусова промишленост
ВПИ;Висш педагогически институт
бул.;булевард
г-н;господин
г.;година
доц.;доцент
ул.;улица
проф.;професор"
70,Практикер,112033,,"ЕООД;Еднолично дружество с ограничена отговорност
г.;година
м²;квадратен метър
млн.;милион
т.н.;така нататък
AG;Aktiengesellschaft
m²;squared metre"
71,Програмна_грешка,232378,,г.;година
72,Прототип,198150,RCs;release candidates,"напр.;например
т.н.;така наречен"
73,Реклама,123315,"ААМР;Американската асоциация по маркетинг и реклама
ЕАРА;Европейската асоциация на рекламните агенции
ИПП;изключителна представа за продажба",т.н.;така нататък
74,Република_Кипър,18664,,"km;kilometer
ВКС;Върховен касационен съд
ВС;Върховния съд
ЕС;Европейски съюз
ООН;Организация на обединените нации
г.;година
пр. Хр.;преди Христа"
75,Робърт_Дауни_Джуниър,279926,,"BAFTA;British Academy of Film and Television Arts
г.;година"
76,Сам_вкъщи,242278,,"DVD;Digital Video Disc
VHS;Video Home System
САЩ;Съединени Американски Щати
г.;година
млн.;милиона"
77,Световна_организация_за_интелектуална_собственост,128492,"ООН;Организацията на обединените нации
СОИС;Световната организация за интелектуална собственост","A2K;Access To Knowledge
IP;Intellectual Property
PCT;Patent Cooperation Treaty
WIPOnet;World Intellectual Property Organization network
СОИСнет;Световната организация за интелектуална собственост мрежа
г.;година"
78,Силициева_долина,68328,САЩ;Съединени Американски Щати,"USA;United States of America
АРПАНЕТ;мрежа на Агенцията за напредничави изследователски проекти
г.;година
AeA;American Economic Association
PARC;Palo Alto Research Center
САЩ;Съединени Американски Щати"
79,Скарлет_Йохансон,179401,,"BAFTA;British Academy of Film and Television Arts
БАФТА;Британската академия за филмово и телевизионно изкуство
САЩ;Съединени Американски Щати
г.;година"
80,Софтуер_с_отворен_код,53085,"CVS;Concurrent Versions System
MIT;Massachusetts Institute of Technology
SVN;Subversion
ИОК;Инициатива за отворен код
СОК;Софтуер с отворен код
ССОК;Свободен Софтуер с Отворен Код
ФСС;Фондацията за свободен софтуер
BSD;Berkeley Software Distribution
FOSS;Free and open-source software
ОПЛ;Общ публичен лиценз на ГНУ","BSD;Berkeley Software Distribution
GIMP;GNU Image Manipulation Program
GNATS;Gnu Nyu Ada Translator Computing » Software
GNU;GNU's Not Unix
GPL;General Public License
Git;Global Information Tracker
IRC;Internet Relay Chat
MYSQL;My Structured Query Language
OSI;Open Systems Interconnection
САЩ;Съединени Американски Щати
г.;година
напр.;например
IBM;International Business Machines
ID;Identity document
OSS;operational support system
вкл.;включително"
81,Старокаменна_епоха,81684,,"Хр.;Христа
г.;година
пр.;преди
пр. Хр.;преди Христа"
82,Стефка_Костадинова,9696,БОК;Български Олимпийски Комитет,"10-и;десети
7-и;седми
г.;година
см;сантиметър"
83,Стокхолмски_синдром,102027,,"ФБР;Федерално бюро за разследване
т.н.;така нататък"
84,Съюз_на_българските_автомобилисти,154948,"БАТК;Български автомобилен и туринг клуб
СБА;Съюзът на българските автомобилисти","AIT;Alliance Internationale de Tourisme
ARC;Automotive Research Center
FIA;Fédération Internationale de l'Automobile
FICC;Fédération Internationale de Camping, Caravanning et Autocaravaning"
85,ТАБСО,487398,ТАБСО;Транспортно-авиационно българо-съветско общество,"СССР;Съюз на съветските социалистически републики
г.;година
млн.;милиона
хил.;хиляди"
86,Табулираща_машина,669063,,"IBM;International Business Machines
г.;година
т.н.;така нататък"
87,Транзистор,50055,,"FET;field-effect transistor
MOSFET;metal-oxide-semiconductor field-effect transistor
NPN;Negative, Positive, Negative
PNP;Positive, Negative, Positive
МОП;метал-оксид-полупроводник
W;Watt
др.;други
т.е.;тоест
т.нар.;така нарачените"
88,Тримерен_печат,451930,"CAD;computer aided design
АП;адитивно производство
BAAM;Big Area Additive Manufacturing",".3ds;3D Studio
.dae;Digital Asset Exchange File Format
.skp;SketchUp
3D;three-dimensional
AEC;Architecture Engineering and Construction
CNC;Computer Numerical Control
FDM;Fused Deposition Modeling
г.;година
щ.д;щатски долата
3-D;three-dimensional
AEC;Architecture, Engineering, and Construction
CAD;Computer-aided design
CNC;Computerized Numerical Control
DPI;Dots per inch
STL;Standard Triangle Language
µm;micrometer
млн.;милион"
89,Уеб_сървър,209082,,"CGI;Computer-generated imagery
GIF;Graphics Interchange Format
HTML;HyperText Markup Language
HTTP;Hypertext Transfer Protocol
JPEG;Joint Photographic Experts Group
PNG;Portable Network Graphics
XML;Extensible Markup Language
т. нар.;така наречен
т.е.;тоест
CGI;Computer-Generated Imagery"
90,Уебстраница,331505,,"CSS;Cascading Style Sheets
HTML;HyperText Markup Language
HTTP;Hypertext Transfer Protocol
URL;Uniform Resource Locator
XHTML;Extensible HyperText Markup Language
вкл.;включително
др.;друг"
91,Фестивал,117858,ЕАФ;Европейската асоциация на фестивалите,
92,ФК_Ювентус,66518,,"КЕШ;Купата на европейските шампиони
САЩ;Съединени Американски Щати
УЕФА;Съюзът на европейските футболни асоциации
ФК;Футболен клуб
г.;година
млн;милиона
бул.;булевард
млн.;милион"
93,Формула_1,18674,,"ABS;Anti-lock braking system
TCS;Traction control system
km;kilometer
km/h;kilometers per hour
mm;millimeter
НБО;най-бърза обиколка
САЩ;Съединени Американски Щати
ФИА;Международна автомобилна федерация
г.;година
млн.;милиона
т.;точка
т.н.;така нататък
mm;milimeters
об/мин;оборота на минута"
94,Хановер,27359,,г.;година
95,Хокей_на_лед,20480,"САЩ;Съединените Американски Щати
НХЛ;Националната хокейна лига на САЩ и Канада","НХЛ;Национална Хокейна Лига
г.;година
км;километър
м;метър
мм;милиметър
см;сантиметър"
96,Хоум_Бокс_Офис,304225,HBO;Home Box Office,"HD;High-definition
MMDS;Multichannel Multipoint Distribution Service
САЩ;Съединените Американски Щати
ТВ;Телевизия
г.;година
млн.;милион
HD;high-definition
MMDS;Multi Media Distribution Systems
TV;Television
САЩ;Съединени Американски Щати
ТВ;телевизор"
97,Христо_Ботев,2919,"БРЦК;Българския революционен централен комитет
БРЦК;Български революционен централен комитет","г.;година
др.;други"
98,Хълк,376173,,г.;година
99,Хърватия,50904,"ООН;Организацията на обединените нации
СХС;сърби, хървати и словенци","km;kilometer
km2;Square kilometer
km²;Square kilometer
°C;Celsius
НАТО;Организацията на Северноатлантическия договор
ЦЕФТА;Централноевропейско споразумение за свободна търговия
г.;година"
100,Чип,64785,,"SiO2;Silicon dioxide
напр.;например"
101,Шампионска_лига_на_УЕФА,10709,"AG;Aktiengesellschaft
КЕШ;Купа на европейските шампиони
ECC;European Champions' Cup
УЕФА;Съюзът на европейските футболни асоциации","ECC;European Champions' Cup
УЕФА;Съюзът на европейските футболни асоциации
г.;година
AG;Aktiengesellschaft"
