             acronym                                                                            expansion        language           type                                             doc_id
39               бр.                                                                                 брой              bg  out_expansion                                Административен_акт
40              т.е.                                                                                тоест              bg  out_expansion                                Административен_акт
41               чл.                                                                                 член              bg  out_expansion                                Административен_акт
42                АД                                                                Акционерно дружество               bg   in_expansion                               Акционерно_дружество
43               ЕАД                                                       еднолично акционерно дружество              bg   in_expansion                               Акционерно_дружество
44                АД                                                                 Акционерно дружество              bg   in_expansion                               Акционерно_дружество
45               ЕАД                                                      еднолично акционерно дружество               bg   in_expansion                               Акционерно_дружество
46               АПА                                                 Американската психологична асоциация              bg   in_expansion                 Американска_психологична_асоциация
47              САЩ                                                          Съединените Американски Щати              bg  out_expansion                 Американска_психологична_асоциация
48              млн.                                                                               милион              bg  out_expansion                 Американска_психологична_асоциация
49               АПА                                                 Американската психологична асоциация              bg   in_expansion                 Американска_психологична_асоциация
50              млн.                                                                               милион  other language  out_expansion                 Американска_психологична_асоциация
51               ВУЗ                                                               Ввисше учебно заведени              bg  out_expansion                           Амстердамски_университет
52                г.                                                                               година              bg  out_expansion                           Амстердамски_университет
53              млн.                                                                              милиона              bg  out_expansion                           Амстердамски_университет
54              хил.                                                                               хиляди              bg  out_expansion                           Амстердамски_университет
55               ВУЗ                                                               Висше учебно заведение              bg  out_expansion                           Амстердамски_университет
56                г.                                                                               година              bg  out_expansion                           Амстердамски_университет
57              млн.                                                                              милиона              bg  out_expansion                           Амстердамски_университет
58              хил.                                                                               хиляди              bg  out_expansion                           Амстердамски_университет
59               БКК                                                   Банковата консолидационна компания              bg   in_expansion                   Банкова_консолидационна_компания
60              ДПС                                                           Движение за права и свободи              bg  out_expansion                   Банкова_консолидационна_компания
61               ДСК                                                              Държавна спестовна каса              bg  out_expansion                   Банкова_консолидационна_компания
62              НДСВ                                           Национално движение за стабилност и възход              bg  out_expansion                   Банкова_консолидационна_компания
63                г.                                                                               година              bg  out_expansion                   Банкова_консолидационна_компания
64               гр.                                                                                 град              bg  out_expansion                   Банкова_консолидационна_компания
65             млрд.                                                                              милиярд              bg  out_expansion                   Банкова_консолидационна_компания
66              п.к.                                                                         пощенски код              bg  out_expansion                   Банкова_консолидационна_компания
67               ул.                                                                                улица              bg  out_expansion                   Банкова_консолидационна_компания
68               БКК                                                   Банковата консолидационна компания              bg   in_expansion                   Банкова_консолидационна_компания
69               ДПС                                                          Движение за права и свободи              bg  out_expansion                   Банкова_консолидационна_компания
70              НДСВ                                           Национално движение за стабилност и възход              bg  out_expansion                   Банкова_консолидационна_компания
71                г.                                                                               година              bg  out_expansion                   Банкова_консолидационна_компания
72               гр.                                                                                 град              bg  out_expansion                   Банкова_консолидационна_компания
73              п.к.                                                                         Пощенски код              bg  out_expansion                   Банкова_консолидационна_компания
74               ул.                                                                                Улица              bg  out_expansion                   Банкова_консолидационна_компания
75                2D                                                                      two dimensional              en  out_expansion                                             Баркод
76               EAN                                                           European Article Numbering              en   in_expansion                                             Баркод
77              ISBN                                                   International Standard Book Number              en  out_expansion                                             Баркод
78              ISSN                                                 International Standard Serial Number              en  out_expansion                                             Баркод
79               ITF                                                              Interleaved Two of Five              en  out_expansion                                             Баркод
80                QR                                                                  quick response code              en  out_expansion                                             Баркод
81               UCC                                                                 Uniform Code Council              en   in_expansion                                             Баркод
82               UPC                                                               Universal Product Code              en   in_expansion                                             Баркод
83                US                                                                        United States              en  out_expansion                                             Баркод
84              БТПП                                                Българска търговско-промишлена палата              bg   in_expansion                                             Баркод
85               ЕАН                                                         Европейски номер на артикула              bg  out_expansion                                             Баркод
86               САЩ                                                           Съединени Американски Щати              bg  out_expansion                                             Баркод
87                г.                                                                               година              bg  out_expansion                                             Баркод
88                2D                                                                      two dimensional              en  out_expansion                                             Баркод
89               EAN                                                           European Article Numbering              en   in_expansion                                             Баркод
90              ISBN                                                   International Standard Book Number              en  out_expansion                                             Баркод
91              ISSN                                                 International Standard Serial Number              en  out_expansion                                             Баркод
92               ITF                                                              Interleaved Two of Five              en  out_expansion                                             Баркод
93                QR                                                                  quick response code              en  out_expansion                                             Баркод
94               UCC                                                                 Uniform Code Council              en   in_expansion                                             Баркод
95               UPC                                                               Universal Product Code              en   in_expansion                                             Баркод
96                US                                                                        United States              en  out_expansion                                             Баркод
97              БТПП                                                Българска търговско-промишлена палата              bg   in_expansion                                             Баркод
98               ЕАН                                                         Европейски номер на артикула              bg  out_expansion                                             Баркод
99               САЩ                                                           Съединени Американски Щати              en  out_expansion                                             Баркод
100               г.                                                                               година              en  out_expansion                                             Баркод
101             WTA                                                            Women's Tennis Association              en  out_expansion                                             Берлин
102               km                                                                            kilometer              en  out_expansion                                             Берлин
103              km²                                                                     Square kilometer              en  out_expansion                                             Берлин
104                m                                                                                meter              en  out_expansion                                             Берлин
105               °C                                                                              Celsius              en  out_expansion                                             Берлин
106             БВП                                                               Брутен вътрешен продукт              bg  out_expansion                                             Берлин
107              ВУЗ                                                                Висше учебно заведени              bg  out_expansion                                             Берлин
108              ГДР                                                     Германска демократична република              bg  out_expansion                                             Берлин
109               ЕС                                                                     Европейския съюз              bg   in_expansion                                             Берлин
110              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                             Берлин
111               СК                                                                         спортен клуб              bg  out_expansion                                             Берлин
112             СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                                             Берлин
113               ФК                                                                        Футболен клуб              bg  out_expansion                                             Берлин
114           ЮНЕСКО  Организация на Обединените нации по въпросите на образованието, науката и културата              bg  out_expansion                                             Берлин
115               г.                                                                               година              en  out_expansion                                             Берлин
116            млрд.                                                                              милиард              bg  out_expansion                                             Берлин
117          пр.н.е.                                                                     преди новата ера              bg  out_expansion                                             Берлин
118              WTA                                                           Women's Tennis Association              en  out_expansion                                             Берлин
119               km                                                                            kilometer              en  out_expansion                                             Берлин
120              km²                                                                     Square kilometer              en  out_expansion                                             Берлин
121                m                                                                                meter              en  out_expansion                                             Берлин
122               °C                                                                              Celsius              en  out_expansion                                             Берлин
123              БВП                                                              Брутен вътрешен продукт              bg  out_expansion                                             Берлин
124              ВУЗ                                                                Висше учебно заведени              bg  out_expansion                                             Берлин
125              ГДР                                                     Германска демократична република              bg  out_expansion                                             Берлин
126               ЕС                                                                     Европейския съюз              bg   in_expansion                                             Берлин
127              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                             Берлин
128               СК                                                                         спортен клуб              bg  out_expansion                                             Берлин
129             СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                                             Берлин
130               ФК                                                                        Футболен клуб              bg  out_expansion                                             Берлин
131           ЮНЕСКО  Организация на Обединените нации по въпросите на образованието, науката и културата              bg  out_expansion                                             Берлин
132               г.                                                                               година              bg  out_expansion                                             Берлин
133            млрд.                                                                              милиард              bg  out_expansion                                             Берлин
134          пр.н.е.                                                                     преди новата ера              bg  out_expansion                                             Берлин
135              BBC                                                     British Broadcasting Corporation              en  out_expansion                                           Би_Би_Си
136              БАН                                                        Българска академия на науките              bg  out_expansion                                           Би_Би_Си
137            акад.                                                                             академик              bg  out_expansion                                           Би_Би_Си
138               г.                                                                               година              bg  out_expansion                                           Би_Би_Си
139              др.                                                                                други              bg  out_expansion                                           Би_Би_Си
140              BBC                                                     British Broadcasting Corporation              en  out_expansion                                           Би_Би_Си
141              БАН                                                        Българска академия на науките              bg  out_expansion                                           Би_Би_Си
142               г.                                                                               година              bg  out_expansion                                           Би_Би_Си
143              BBC                                                     British Broadcasting Corporation              en  out_expansion                                           Би_Ти_Ви
144               HD                                                                      High Definition              en  out_expansion                                           Би_Ти_Ви
145             IPTV                                                         Internet Protocol television              en  out_expansion                                           Би_Ти_Ви
146              MUX                                                                          Multiplexer              en  out_expansion                                           Би_Ти_Ви
147               SD                                                                  Standard definition              en  out_expansion                                           Би_Ти_Ви
148               АД                                                                 Акционерно дружество              bg  out_expansion                                           Би_Ти_Ви
149              ДКД                                                Държавната комисия по далекосъобщения              bg   in_expansion                                           Би_Ти_Ви
150              ЕАД                                                       Еднолично акционерно дружество              bg  out_expansion                                           Би_Ти_Ви
151              КРС                                                 Комисия по регулиране на съобщенията              bg   in_expansion                                           Би_Ти_Ви
152               МС                                                                    Министерски съвет              bg  out_expansion                                           Би_Ти_Ви
153              НДК                                                       Национален дворец на културата              bg  out_expansion                                           Би_Ти_Ви
154              ООД                                                   Дружество с ограничена отговорност              bg  out_expansion                                           Би_Ти_Ви
155              ПТС                                                        Подвижна телевизионна станция              bg  out_expansion                                           Би_Ти_Ви
156              СЕМ                                                          Съветът за електронни медии              bg   in_expansion                                           Би_Ти_Ви
157              СМЕ                                                   Central European Media Enterprises              en   in_expansion                                           Би_Ти_Ви
158             УЕФА                                            Съюзът на европейските футболни асоциации              bg  out_expansion                                           Би_Ти_Ви
159              ал.                                                                               алинея              bg  out_expansion                                           Би_Ти_Ви
160               г.                                                                               година              bg  out_expansion                                           Би_Ти_Ви
161               т.                                                                                точка              bg  out_expansion                                           Би_Ти_Ви
162              чл.                                                                                 член              bg  out_expansion                                           Би_Ти_Ви
163              BBC                                                     British Broadcasting Corporation              en  out_expansion                                           Би_Ти_Ви
164               HD                                                                      High Definition              en  out_expansion                                           Би_Ти_Ви
165             IPTV                                                         Internet Protocol television              en  out_expansion                                           Би_Ти_Ви
166              MUX                                                                          Multiplexer              en  out_expansion                                           Би_Ти_Ви
167               SD                                                                  Standard definition              en  out_expansion                                           Би_Ти_Ви
168               АД                                                                 Акционерно дружество              bg  out_expansion                                           Би_Ти_Ви
169              ДКД                                                Държавната комисия по далекосъобщения              bg   in_expansion                                           Би_Ти_Ви
170              ЕАД                                                       Еднолично акционерно дружество              bg  out_expansion                                           Би_Ти_Ви
171              КРС                                                 Комисия по регулиране на съобщенията              bg   in_expansion                                           Би_Ти_Ви
172               МС                                                                    Министерски съвет              bg  out_expansion                                           Би_Ти_Ви
173              НДК                                                       Национален дворец на културата              bg  out_expansion                                           Би_Ти_Ви
174              ООД                                                   Дружество с ограничена отговорност              bg  out_expansion                                           Би_Ти_Ви
175              ПТС                                                        Подвижна телевизионна станция              bg  out_expansion                                           Би_Ти_Ви
176              СЕМ                                                          Съветът за електронни медии              bg   in_expansion                                           Би_Ти_Ви
177              СМЕ                                                   Central European Media Enterprises              en   in_expansion                                           Би_Ти_Ви
178             УЕФА                                            Съюзът на европейските футболни асоциации              bg  out_expansion                                           Би_Ти_Ви
179              ал.                                                                               алинея              bg  out_expansion                                           Би_Ти_Ви
180               г.                                                                               година              bg  out_expansion                                           Би_Ти_Ви
181               т.                                                                                точка              bg  out_expansion                                           Би_Ти_Ви
182              чл.                                                                                 член              bg  out_expansion                                           Би_Ти_Ви
183            DVB-T                                             Digital Video Broadcasting - Terrestrial              en  out_expansion                                              БНТ_1
184               HD                                                                      High Definition              en  out_expansion                                              БНТ_1
185              БНТ                                                     Българската национална телевизия              bg  out_expansion                                              БНТ_1
186               г.                                                                               година              bg  out_expansion                                              БНТ_1
187            DVB-T                                             Digital Video Broadcasting - Terrestrial              en  out_expansion                                              БНТ_1
188               HD                                                                      High Definition              en  out_expansion                                              БНТ_1
189              БНТ                                                     Българската национална телевизия              bg  out_expansion                                              БНТ_1
190               г.                                                                               година              bg  out_expansion                                              БНТ_1
191              БНТ                                                     Българската национална телевизия              bg   in_expansion                                              БНТ_2
192             РТВЦ                                                       Регионален телевизионен център              bg  out_expansion                                              БНТ_2
193               г.                                                                               година              bg  out_expansion                                              БНТ_2
194               ч.                                                                                 часа              bg  out_expansion                                              БНТ_2
195              БНТ                                                     Българската национална телевизия              bg   in_expansion                                              БНТ_2
196             РТВЦ                                                       Регионален телевизионен център              bg  out_expansion                                              БНТ_2
197               г.                                                                               година              bg  out_expansion                                              БНТ_2
198               ч.                                                                                 часа              bg  out_expansion                                              БНТ_2
199               kg                                                                             kilogram              en  out_expansion                                            Бобслей
200              ГДР                                                     Германска демократична република              bg  out_expansion                                            Бобслей
201              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                            Бобслей
202               г.                                                                               година              bg  out_expansion                                            Бобслей
203               кг                                                                             килограм              bg  out_expansion                                            Бобслей
204             FIBT                             Fédération internationale de bobsleigh et de tobogganing              en   in_expansion                                            Бобслей
205               kg                                                                             kilogram              en  out_expansion                                            Бобслей
206              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                            Бобслей
207               г.                                                                               година              bg  out_expansion                                            Бобслей
208               кг                                                                             килограм              bg  out_expansion                                            Бобслей
209              кг.                                                                             килограм              bg  out_expansion                                            Бобслей
210              др.                                                                                други              bg  out_expansion                                           Ботаника
211              ДНК                                                       Дезоксирибонуклеинова киселина              bg  out_expansion                                           Ботаника
212              БКП                                                      Българска Комунистическа Партия              bg  out_expansion                            Българска_народна_банка
